latitude(y);longitude(x);hasPassenger;time;closest_intersection_x;closest_intersection_y;relative_position;relative_position_normalized;intersected_line_oneway;intersected_line_as_linestring;linestring_adjustment_visualization;path_time;path_as_linestring;path_length;air_line_length;path_length/air_line_length;velocity_m_s;pathIDs;solution_id;solution_index;path_from_target_to_source;taxi_did_not_move;second_best_solution_yields_more_found_paths;NO_PATH_FOUND;comment
37.7905;-122.39684;0;1212919803;-122.39680059343677;37.7905494470398;0.0018718582339559866;0.9295775408780269;T;LINESTRING (-122.3982644482184 37.79171605855458, -122.3966896954762 37.79046106748232);LINESTRING (-122.39684 37.7905, -122.3968005934368 37.7905494470398);;;;;;;;10365;0;0;0;0;0;Cannot compute shortest path as previous point is (0,0). 
37.78626;-122.39576;0;1212919765;-122.3957420264035;37.78627752616734;0.004269086760544399;0.7993662683447545;F;LINESTRING (-122.3919402140906 37.7852959371511, -122.3926715660403 37.78504667344836, -122.3929934026533 37.78498114893871, -122.3934274297762 37.78494764973405, -122.3938119275493 37.7849906380896, -122.3942484307632 37.78513074858114, -122.3945672021274 37.78531801897805, -122.3956646725095 37.78619819748973, -122.3958748443904 37.78641373489213, -122.3960149991152 37.7866832394847, -122.3960171775334 37.78695496276745, -122.3958813769958 37.78722890476594);LINESTRING (-122.3957420264035 37.78627752616734, -122.3957420264035 37.78627752616734);38;LINESTRING (-122.3957420264035 37.78627752616734, -122.3958748443904 37.78641373489213, -122.3960149991152 37.7866832394847, -122.3960171775334 37.78695496276745, -122.3958813769958 37.78722890476594, -122.3944394930867 37.78836176098208, -122.394356545122 37.78846877680802, -122.3943236190344 37.78857531876664, -122.3951509317866 37.78923469924675, -122.3956851235927 37.78966044758627, -122.3962859319717 37.79013928136963, -122.3966896954762 37.79046106748232, -122.3968005934368 37.7905494470398);628.4007697554842;484.03837409156375;1.2982457660198072;16.536862361986426;['967', '967', '967', '967', '968', '968', '968', '10369', '10368', '10367', '10366', '10365'];967;1;0;0;0;0;The source point of this path was reset as this leads to much shorter path lengths. Previous solution: (-122.39577385929054, 37.78627755108354) / New solution: (-122.3957420264035, 37.78627752616734). 
37.79376;-122.38268;0;1212919699;-122.38262815727815;37.79370443542614;0.007537129698705093;0.26657013274731445;F;LINESTRING (-122.3881390836712 37.78856264445559, -122.3674656258599 37.80785134314649);LINESTRING (-122.38268 37.79376, -122.3826281572781 37.79370443542614);66;LINESTRING (-122.3826281572781 37.79370443542614, -122.3674656258599 37.80785134314649, -122.3670893362047 37.80832852918542, -122.3668991458058 37.80857345664266, -122.366810601819 37.8086917584395, -122.3667756230338 37.80878083621238, -122.3667775057875 37.80885571067437, -122.3668223163183 37.80892990566527, -122.3669007290538 37.80897406161474, -122.3670239621155 37.80897892036624, -122.367738133596 37.8088019142579, -122.3678580484287 37.80878866636969, -122.3680139716188 37.80878857605055, -122.3680352059777 37.808792365429, -122.3671173886811 37.80902183095952, -122.3670167389306 37.8090311331682, -122.3668926710051 37.80900997227148, -122.3667938484403 37.80894697982491, -122.3667502390317 37.80885613413952, -122.366752870606 37.80876744670532, -122.3667933608221 37.8086858698201, -122.3668947484533 37.80856093195721, -122.367332069111 37.80795982035309, -122.3674337950727 37.80781919120618, -122.3881258449727 37.78855380200797, -122.3910305639621 37.78581471508678, -122.3919402140906 37.7852959371511, -122.3926715660403 37.78504667344836, -122.3929934026533 37.78498114893871, -122.3934274297762 37.78494764973405, -122.3938119275493 37.7849906380896, -122.3942484307632 37.78513074858114, -122.3945672021274 37.78531801897805, -122.3956646725095 37.78619819748973, -122.3957420264035 37.78627752616734);6270.237971908591;1417.7196265032596;4.422763044745205;95.00360563497865;['1365', '1364', '1364', '1364', '1364', '1364', '1364', '1364', '1364', '1364', '1364', '1364', '1364', '1363', '1363', '1363', '1363', '1363', '1363', '1363', '1363', '1363', '1363', '1366', '975', '975', '967', '967', '967', '967', '967', '967', '967', '967'];1365;0;0;0;0;0;The target point of this path was reset as this leads to much shorter path lengths.
37.80284;-122.37292;0;1212919658;-122.37288125137616;37.802798469565374;0.020867682259931256;0.7380396852019604;F;LINESTRING (-122.3881390836712 37.78856264445559, -122.3674656258599 37.80785134314649);LINESTRING (-122.37292 37.80284, -122.3728812513762 37.80279846956537);41;LINESTRING (-122.3728812513762 37.80279846956537, -122.3674656258599 37.80785134314649, -122.3670893362047 37.80832852918542, -122.3668991458058 37.80857345664266, -122.366810601819 37.8086917584395, -122.3667756230338 37.80878083621238, -122.3667775057875 37.80885571067437, -122.3668223163183 37.80892990566527, -122.3669007290538 37.80897406161474, -122.3670239621155 37.80897892036624, -122.367738133596 37.8088019142579, -122.3678580484287 37.80878866636969, -122.3680139716188 37.80878857605055, -122.3680352059777 37.808792365429, -122.3671173886811 37.80902183095952, -122.3670167389306 37.8090311331682, -122.3668926710051 37.80900997227148, -122.3667938484403 37.80894697982491, -122.3667502390317 37.80885613413952, -122.366752870606 37.80876744670532, -122.3667933608221 37.8086858698201, -122.3668947484533 37.80856093195721, -122.367332069111 37.80795982035309, -122.3674337950727 37.80781919120618, -122.3881258449727 37.78855380200797, -122.3910305639621 37.78581471508678, -122.3919402140906 37.7852959371511, -122.3928944731709 37.78475170294428, -122.3932047527542 37.78439935302765, -122.3932170375986 37.78424717920225, -122.3931391620054 37.78409095933411, -122.3929655090515 37.78398205421286, -122.3927478385736 37.78395808354403, -122.3925279295923 37.78402753094674, -122.391883350285 37.78454627931259, -122.3915270705635 37.78494055164118, -122.3913798876895 37.78513907744778, -122.3913706649902 37.78515054189291, -122.3913263750852 37.78527951350338, -122.3913096583044 37.78537031903415, -122.391462024483 37.78574888660421, -122.3916417240426 37.78626659305552, -122.3917709411332 37.78648331742092, -122.3920529629676 37.78676548321106, -122.3929366851688 37.78606753234774, -122.3929316651027 37.78590622870406, -122.3926783893651 37.7855545068203, -122.39255335291 37.7854484444012, -122.3924092444756 37.78539417141339, -122.3922183508152 37.78537082884571, -122.3920757799732 37.785376889337, -122.39179286682 37.7853968812622, -122.391042413036 37.78582486732752, -122.3881390836712 37.78856264445559, -122.3826281572781 37.79370443542614);6637.514150897834;1325.1262838773866;5.008967244598101;161.89058904628862;['1365', '1364', '1364', '1364', '1364', '1364', '1364', '1364', '1364', '1364', '1364', '1364', '1364', '1363', '1363', '1363', '1363', '1363', '1363', '1363', '1363', '1363', '1363', '1366', '975', '975', '976', '966', '966', '966', '966', '966', '966', '966', '966', '966', '966', '966', '966', '966', '966', '966', '966', '200', '1023', '1023', '1023', '1023', '1023', '1023', '1023', '1028', '1028', '1365'];1365;0;0;0;0;0;
37.81306;-122.36189;0;1212919608;-122.36184467824614;37.81298007728068;0.0037301617451549283;0.5673075883535481;F;LINESTRING (-122.3583694421271 37.81430658773041, -122.3604523608629 37.81362993314323, -122.3612736870609 37.81330386691128, -122.3616841147731 37.81307112796392, -122.3619531826479 37.81291854772024, -122.3631984783671 37.8117777544105, -122.3635458426533 37.81145953110872, -122.3639551592044 37.81108454785706, -122.3639590203 37.81108097666155);LINESTRING (-122.3618446782461 37.81298007728067, -122.3618446782461 37.81298007728068);50;LINESTRING (-122.3618446782461 37.81298007728068, -122.3619531826479 37.81291854772024, -122.3631984783671 37.8117777544105, -122.3635458426533 37.81145953110872, -122.3639551592044 37.81108454785706, -122.3639590203 37.81108097666155, -122.3644259965294 37.81054718285493, -122.3642809971353 37.81062823350916, -122.3642201195841 37.81066844484513, -122.3640684213488 37.81078858795063, -122.3639289089341 37.81090117906955, -122.36384978056 37.81095394396942, -122.3637631184279 37.81097263180835, -122.3636841080388 37.81096680227602, -122.3635954043658 37.81093045709639, -122.3633694745627 37.81054303906578, -122.3635650497473 37.81106171442352, -122.3635860326416 37.81116361867259, -122.3635589834576 37.81126043936138, -122.3635100601556 37.81133669509599, -122.3635667766329 37.81147391424786, -122.3635800919549 37.81150612815155, -122.3636661883741 37.8117144239318, -122.3639625719316 37.81154816506395, -122.3646033411351 37.81096136038126, -122.3646386002191 37.81091142797566, -122.3646514908764 37.81082609585902, -122.3646640822609 37.81072885009065, -122.3646968229232 37.81063849086036, -122.3647632161744 37.81054550336282, -122.3649487951639 37.81033488646599, -122.3651808104791 37.81004745642335, -122.3653335169689 37.80983927106199, -122.3654843479019 37.80967003351596, -122.3658190406998 37.80935247573625, -122.3661926640928 37.80899797532551, -122.3670441240757 37.80819007866173, -122.3674337950727 37.80781919120618, -122.3881258449727 37.78855380200797, -122.3910305639621 37.78581471508678, -122.3919402140906 37.7852959371511, -122.3928944731709 37.78475170294428, -122.3932047527542 37.78439935302765, -122.3932170375986 37.78424717920225, -122.3931391620054 37.78409095933411, -122.3929655090515 37.78398205421286, -122.3927478385736 37.78395808354403, -122.3925279295923 37.78402753094674, -122.391883350285 37.78454627931259, -122.3915270705635 37.78494055164118, -122.3913798876895 37.78513907744778, -122.3913706649902 37.78515054189291, -122.3913263750852 37.78527951350338, -122.3913096583044 37.78537031903415, -122.391462024483 37.78574888660421, -122.3916417240426 37.78626659305552, -122.3917709411332 37.78648331742092, -122.3920529629676 37.78676548321106, -122.3929366851688 37.78606753234774, -122.3929316651027 37.78590622870406, -122.3926783893651 37.7855545068203, -122.39255335291 37.7854484444012, -122.3924092444756 37.78539417141339, -122.3922183508152 37.78537082884571, -122.3920757799732 37.785376889337, -122.39179286682 37.7853968812622, -122.391042413036 37.78582486732752, -122.3881390836712 37.78856264445559, -122.3728812513762 37.80279846956537);7900.07863543432;1490.5837156901423;5.29998989810282;158.0015727086864;['1360', '1360', '1360', '1360', '1360', '1414', '1356', '1356', '1356', '1356', '1356', '1356', '1356', '1356', '1356', '1418', '1418', '1418', '1418', '1355', '1355', '1355', '1354', '1354', '1354', '1354', '1354', '1354', '1354', '1354', '1354', '1354', '1354', '1362', '1362', '1362', '1362', '1366', '975', '975', '976', '966', '966', '966', '966', '966', '966', '966', '966', '966', '966', '966', '966', '966', '966', '966', '966', '200', '1023', '1023', '1023', '1023', '1023', '1023', '1023', '1028', '1028', '1365'];1360;1;0;0;1;0;The source point of this path was reset as this yields more found paths. Previous solution: (-122.36187068637607, 37.813025920708206) / New solution: (-122.36184467824614, 37.81298007728067). 
37.8182;-122.3465;0;1212919564;;;;;;;;;;;;;;;;0;0;0;0;0;This point is an outlier.The target point of this path was reset as this yields more found paths.
37.82126;-122.33029;0;1212919527;;;;;;;;;;;;;;;;0;0;0;0;0;This point is an outlier.
37.8246;-122.31376;0;1212919457;;;;;;;;;;;;;;;;0;0;0;0;0;This point is an outlier.
37.82456;-122.31366;0;1212919397;;;;;;;;;;;;;;;;0;0;0;0;0;This point is an outlier.
37.82501;-122.30892;0;1212919346;;;;;;;;;;;;;;;;0;0;0;0;0;This point is an outlier.
