latitude(y);longitude(x);hasPassenger;time;closest_intersection_x;closest_intersection_y;intersected_line_as_linestring;linestring_adjustment_visualization;path_time;path_as_linestring;path_length;air_line_length;path_length/air_line_length;velocity_m_s;pathIDs;solution_id;solution_index;path_from_target_to_source;comment
37.75222;-122.41414;1;1212795578;-122.41405825721357;37.75222816971671;LINESTRING (-122.414086031265 37.75250606531995, -122.4139257722948 37.75090258073917);LINESTRING (-122.41414 37.75222, -122.4140582572136 37.75222816971671);;;;;;;;10544;0;0;Cannot compute shortest path as previous point is (0,0). 
37.74851;-122.41365;1;1212795527;-122.4136931545104;37.74850581174018;LINESTRING (-122.4137233509327 37.74881694616712, -122.4136688445198 37.74825532925192);LINESTRING (-122.41365 37.74851, -122.4136931545104 37.74850581174018);51;LINESTRING (-122.4136931545104 37.74850581174018, -122.4137233509327 37.74881694616712, -122.4137706275637 37.74930406840696, -122.4139257722948 37.75090258073917, -122.4140582572136 37.75222816971671);415.1504293128262;415.1501846952736;1.0000005892266501;8.140204496329925;['10459', '10458', '10545', '10544'];10459;0;0;
37.74847;-122.40842;1;1212795465;-122.40842041798818;37.74840056068159;LINESTRING (-122.4078820283653 37.74840500044883, -122.4080700787844 37.74839845182382, -122.4086043190649 37.74840166766936, -122.4087063130982 37.74835284769899);LINESTRING (-122.40842 37.74847, -122.4084204179882 37.74840056068159);62;LINESTRING (-122.4084204179882 37.74840056068159, -122.4086043190649 37.74840166766936, -122.4087063130982 37.74835284769899, -122.4088536072328 37.74839741000623, -122.4095473445099 37.74838499635131, -122.4096463875988 37.74833439029379, -122.4097485288791 37.7483795101493, -122.4104491127689 37.74836535352439, -122.4105460676305 37.74831671907783, -122.410653763583 37.74836257091518, -122.411346451469 37.74834445354541, -122.4114841287856 37.74829828685085, -122.4116282685989 37.74834114490953, -122.4135361051365 37.7483036317372, -122.4136688445198 37.74825532925192, -122.4136931545104 37.74850581174018);500.8506893794385;463.7399158778684;1.0800249713922485;8.078236925474815;['13859', '13861', '13863', '13865', '13867', '10459'];13859;0;0;
37.7495;-122.4007;1;1212795405;;;;;;;;;;;;;0;0;This point is an outlier.
37.74987;-122.39538;1;1212795345;-122.3953146260188;37.74987611421003;LINESTRING (-122.3953476011175 37.75022868853605, -122.3953078613906 37.74980378586793);LINESTRING (-122.39538 37.74987, -122.3953146260188 37.74987611421003);;;;;;;;6530;0;0;Cannot compute shortest path as previous point is (0,0). 
37.75123;-122.39526;0;1212795289;-122.39526367429009;37.75123114595167;LINESTRING (-122.3953476011175 37.75022868853605, -122.3952919395083 37.75029819785284, -122.3952969826385 37.75049589499655, -122.3953445931247 37.7510060549776, -122.3953358998579 37.75107212056775, -122.3952830214427 37.75116911274996, -122.3952606345392 37.75124089237212, -122.3952243472918 37.75131014862619, -122.3941669264314 37.75135736520154, -122.3940868281965 37.75133667733565, -122.3935203228179 37.75137050314586);LINESTRING (-122.39526 37.75123, -122.3952636742901 37.75123114595167);56;LINESTRING (-122.3952636742901 37.75123114595167, -122.3952830214427 37.75116911274996, -122.3953358998579 37.75107212056775, -122.3953445931247 37.7510060549776, -122.3952969826385 37.75049589499655, -122.3952919395083 37.75029819785284, -122.3953476011175 37.75022868853605, -122.3953146260188 37.74987611421003);153.56306886422357;150.73923344907877;1.0187332478116835;2.7421976582897067;['2467', '6530'];2467;0;0;
37.75133;-122.39496;0;1212795229;-122.39495964136964;37.75132196843;LINESTRING (-122.3953476011175 37.75022868853605, -122.3952919395083 37.75029819785284, -122.3952969826385 37.75049589499655, -122.3953445931247 37.7510060549776, -122.3953358998579 37.75107212056775, -122.3952830214427 37.75116911274996, -122.3952606345392 37.75124089237212, -122.3952243472918 37.75131014862619, -122.3941669264314 37.75135736520154, -122.3940868281965 37.75133667733565, -122.3935203228179 37.75137050314586);LINESTRING (-122.39496 37.75133, -122.3949596413696 37.75132196843);60;LINESTRING (-122.3949596413696 37.75132196843, -122.3952243472918 37.75131014862619, -122.3952606345392 37.75124089237212, -122.3952636742901 37.75123114595167);32.76164507507391;28.574457234274306;1.1465360411387686;0.5460274179178984;['2467'];2467;0;0;
37.75134;-122.39497;0;1212795173;-122.39496917583345;37.75132154269154;LINESTRING (-122.3953476011175 37.75022868853605, -122.3952919395083 37.75029819785284, -122.3952969826385 37.75049589499655, -122.3953445931247 37.7510060549776, -122.3953358998579 37.75107212056775, -122.3952830214427 37.75116911274996, -122.3952606345392 37.75124089237212, -122.3952243472918 37.75131014862619, -122.3941669264314 37.75135736520154, -122.3940868281965 37.75133667733565, -122.3935203228179 37.75137050314586);LINESTRING (-122.39497 37.75134, -122.3949691758335 37.75132154269154);56;LINESTRING (-122.3949691758335 37.75132154269154, -122.3949596413696 37.75132196843);0.8395971386949443;0.8395971386949443;1.0;0.014992806048124006;['2467'];2467;0;0;
37.75127;-122.39494;0;1212795109;-122.39494235499127;37.75132274031149;LINESTRING (-122.3953476011175 37.75022868853605, -122.3952919395083 37.75029819785284, -122.3952969826385 37.75049589499655, -122.3953445931247 37.7510060549776, -122.3953358998579 37.75107212056775, -122.3952830214427 37.75116911274996, -122.3952606345392 37.75124089237212, -122.3952243472918 37.75131014862619, -122.3941669264314 37.75135736520154, -122.3940868281965 37.75133667733565, -122.3935203228179 37.75137050314586);LINESTRING (-122.39494 37.75127, -122.3949423549913 37.75132274031149);64;LINESTRING (-122.3949423549913 37.75132274031149, -122.3949691758335 37.75132154269154);2.3618215638017643;2.3618215638017643;1.0;0.03690346193440257;['2467'];2467;0;0;
37.75158;-122.39366;0;1212795020;-122.39364703925234;37.751362936958095;LINESTRING (-122.3953476011175 37.75022868853605, -122.3952919395083 37.75029819785284, -122.3952969826385 37.75049589499655, -122.3953445931247 37.7510060549776, -122.3953358998579 37.75107212056775, -122.3952830214427 37.75116911274996, -122.3952606345392 37.75124089237212, -122.3952243472918 37.75131014862619, -122.3941669264314 37.75135736520154, -122.3940868281965 37.75133667733565, -122.3935203228179 37.75137050314586);LINESTRING (-122.39366 37.75158, -122.3936470392523 37.7513629369581);89;LINESTRING (-122.3936470392523 37.7513629369581, -122.3940868281965 37.75133667733565, -122.3941669264314 37.75135736520154, -122.3949423549913 37.75132274031149);114.46788294740708;113.97063846328085;1.0043629174218098;1.2861559881731133;['2467'];2467;0;0;
37.75165;-122.39364;0;1212794960;-122.39362294548026;37.75136437558762;LINESTRING (-122.3953476011175 37.75022868853605, -122.3952919395083 37.75029819785284, -122.3952969826385 37.75049589499655, -122.3953445931247 37.7510060549776, -122.3953358998579 37.75107212056775, -122.3952830214427 37.75116911274996, -122.3952606345392 37.75124089237212, -122.3952243472918 37.75131014862619, -122.3941669264314 37.75135736520154, -122.3940868281965 37.75133667733565, -122.3935203228179 37.75137050314586);LINESTRING (-122.39364 37.75165, -122.3936229454803 37.75136437558762);60;LINESTRING (-122.3936229454803 37.75136437558762, -122.3936470392523 37.7513629369581);2.124333122285345;2.124333122285345;1.0;0.03540555203808908;['2467'];2467;0;0;
