latitude(y);longitude(x);hasPassenger;time;path;path_length;path_time;velocity_m_s
37.78127;-122.39581;1;1213037376;;;;
37.77969;-122.39374;1;1213037316;LINESTRING (-122.39581 37.78127, -122.39374 37.77969);252.90599739022718;60;4.215099956503787
37.77685;-122.39518;1;1213037256;LINESTRING (-122.39374 37.77969, -122.39518 37.77685);340.20929302342734;60;5.6701548837237885
37.77654;-122.39543;0;1213037254;LINESTRING (-122.39518 37.77685, -122.39543 37.77654);40.87773832418427;2;20.438869162092136
37.7766;-122.39542;0;1213037177;LINESTRING (-122.39543 37.77654, -122.39542 37.7766);6.729336623852685;77;0.08739398212795695
37.77595;-122.39642;0;1213037117;LINESTRING (-122.39542 37.7766, -122.39642 37.77595);113.79136885652647;60;1.8965228142754413
37.77904;-122.39269;0;1213037054;LINESTRING (-122.39642 37.77595, -122.39269 37.77904);474.89270770400697;63;7.53797948736519
37.78067;-122.39072;0;1213036993;LINESTRING (-122.39269 37.77904, -122.39072 37.78067);250.65126704465845;61;4.109037164666532
37.78069;-122.39071;1;1213036992;LINESTRING (-122.39072 37.78067, -122.39071 37.78069);2.3912523962959122;1;2.3912523962959122
37.78254;-122.39342;1;1213036939;LINESTRING (-122.39071 37.78069, -122.39342 37.78254);314.7039206890013;53;5.937809824320778
37.78565;-122.39686;1;1213036890;LINESTRING (-122.39342 37.78254, -122.39686 37.78565);459.32428822005005;49;9.373965065715307
37.78538;-122.40007;1;1213036829;LINESTRING (-122.39686 37.78565, -122.40007 37.78538);283.68298725224133;61;4.650540774626907
37.78938;-122.40134;1;1213036771;LINESTRING (-122.40007 37.78538, -122.40134 37.78938);458.5675274500756;58;7.906336680173717
37.78896;-122.40232;1;1213036699;LINESTRING (-122.40134 37.78938, -122.40232 37.78896);97.96498365680972;72;1.3606247730112462
37.78868;-122.40511;1;1213036649;LINESTRING (-122.40232 37.78896, -122.40511 37.78868);247.13893766376202;50;4.94277875327524
37.78867;-122.40541;1;1213036579;LINESTRING (-122.40511 37.78868, -122.40541 37.78867);26.385849561356544;70;0.3769407080193792
37.78829;-122.408;1;1213036528;LINESTRING (-122.40541 37.78867, -122.408 37.78829);231.4851543878321;51;4.538924595839845
37.78743;-122.41252;1;1213036459;LINESTRING (-122.408 37.78829, -122.41252 37.78743);408.54731391570687;69;5.920975563995752
37.7862;-122.42465;1;1213036297;LINESTRING (-122.41252 37.78743, -122.42465 37.7862);1074.6854366512898;162;6.63386072006969
37.7862;-122.42465;1;1213036278;LINESTRING (-122.42465 37.7862, -122.42465 37.7862);0.0;19;0.0
37.78718;-122.42476;1;1213036218;LINESTRING (-122.42465 37.7862, -122.42476 37.78718);109.39892930827156;60;1.8233154884711926
37.7875;-122.42317;1;1213036170;LINESTRING (-122.42476 37.78718, -122.42317 37.7875);144.18288491626905;48;3.0038101024222716
37.7875;-122.42317;1;1213036152;LINESTRING (-122.42317 37.7875, -122.42317 37.7875);0.0;18;0.0
37.78745;-122.42211;0;1213036151;LINESTRING (-122.42317 37.7875, -122.42211 37.78745);93.31446644646131;1;93.31446644646131
37.78803;-122.42018;0;1213036061;LINESTRING (-122.42211 37.78745, -122.42018 37.78803);181.44867179947676;90;2.0160963533275194
37.78868;-122.42185;0;1213036017;LINESTRING (-122.42018 37.78803, -122.42185 37.78868);163.58450250122507;44;3.71782960230057
37.7886;-122.42207;0;1213035967;LINESTRING (-122.42185 37.78868, -122.42207 37.7886);21.28085840481542;50;0.4256171680963084
37.78973;-122.42219;0;1213035908;LINESTRING (-122.42207 37.7886, -122.42219 37.78973);126.09196806192404;59;2.13715200104956
37.7932;-122.42305;0;1213035837;LINESTRING (-122.42219 37.78973, -122.42305 37.7932);393.17702512559373;71;5.537704579233714
37.79375;-122.42458;0;1213035777;LINESTRING (-122.42305 37.7932, -122.42458 37.79375);147.6963030091265;60;2.4616050501521083
37.79265;-122.42282;0;1213035717;LINESTRING (-122.42458 37.79375, -122.42282 37.79265);197.17362587894806;60;3.2862270979824677
37.79111;-122.42247;0;1213035679;LINESTRING (-122.42282 37.79265, -122.42247 37.79111);173.98005634592025;38;4.578422535418954
37.78907;-122.42503;0;1213035618;LINESTRING (-122.42247 37.79111, -122.42503 37.78907);319.4683630493374;61;5.237186279497335
37.78752;-122.42435;0;1213035559;LINESTRING (-122.42503 37.78907, -122.42435 37.78752);182.4169155367865;59;3.091812127742144
37.7875;-122.42443;1;1213035556;LINESTRING (-122.42435 37.78752, -122.42443 37.7875);7.373455296890195;3;2.457818432296732
37.78793;-122.41863;1;1213035504;LINESTRING (-122.42443 37.7875, -122.41863 37.78793);511.91769785289574;52;9.844571112555688
37.78923;-122.41707;1;1213035462;LINESTRING (-122.41863 37.78793, -122.41707 37.78923);199.218229766571;42;4.743291184918357
37.78923;-122.41707;1;1213035445;LINESTRING (-122.41707 37.78923, -122.41707 37.78923);0.0;17;0.0
37.79032;-122.41447;1;1213035384;LINESTRING (-122.41707 37.78923, -122.41447 37.79032);258.6289836649398;61;4.239819404343276
37.79097;-122.4092;1;1213035326;LINESTRING (-122.41447 37.79032, -122.4092 37.79097);468.6936945823058;58;8.080925768660444
37.79379;-122.40958;1;1213035262;LINESTRING (-122.4092 37.79097, -122.40958 37.79379);315.342499553311;64;4.927226555520484
37.79381;-122.40956;0;1213035248;LINESTRING (-122.40958 37.79379, -122.40956 37.79381);2.8344454900804603;14;0.2024603921486043
37.7944;-122.40981;0;1213035188;LINESTRING (-122.40956 37.79381, -122.40981 37.7944);69.18503186038761;60;1.1530838643397936
37.79459;-122.40804;0;1213035142;LINESTRING (-122.40981 37.7944, -122.40804 37.79459);156.95437921801258;46;3.412051722130708
37.79445;-122.4079;0;1213035082;LINESTRING (-122.40804 37.79459, -122.4079 37.79445);19.841044100465165;60;0.3306840683410861
37.79444;-122.4079;1;1213035080;LINESTRING (-122.4079 37.79445, -122.4079 37.79444);1.111949266008448;2;0.555974633004224
37.79375;-122.40988;1;1213035031;LINESTRING (-122.4079 37.79444, -122.40988 37.79375);190.1457063164879;49;3.8805246187038342
37.79383;-122.4098;1;1213034971;LINESTRING (-122.40988 37.79375, -122.4098 37.79383);11.3377825486772;60;0.18896304247795334
37.79321;-122.41417;1;1213034911;LINESTRING (-122.4098 37.79383, -122.41417 37.79321);390.1269658421583;60;6.5021160973693055
37.79466;-122.41653;1;1213034850;LINESTRING (-122.41417 37.79321, -122.41653 37.79466);262.67486521573926;61;4.3061453314055615
37.79559;-122.41729;1;1213034801;LINESTRING (-122.41653 37.79466, -122.41729 37.79559);123.09882249338287;49;2.5122208672118953
37.79531;-122.41964;0;1213034759;LINESTRING (-122.41729 37.79559, -122.41964 37.79531);208.82068898078788;42;4.971921166209235
37.7932;-122.4212;0;1213034689;LINESTRING (-122.41964 37.79531, -122.4212 37.7932);271.7286918672633;70;3.8818384552466187
37.78985;-122.41984;0;1213034608;LINESTRING (-122.4212 37.7932, -122.41984 37.78985);391.2031803493106;81;4.829668893201366
