latitude(y);longitude(x);hasPassenger;time;path;path_length;path_time;velocity_m_s
37.7638;-122.39769;0;1213088836;;;;
37.76127;-122.39841;0;1213088776;LINESTRING (-122.39769 37.7638, -122.39841 37.76127);288.35502419450734;60;4.805917069908456
37.76128;-122.39841;1;1213088750;LINESTRING (-122.39841 37.76127, -122.39841 37.76128);1.111949266008448;26;0.042767279461863386
37.76517;-122.41765;1;1213088508;LINESTRING (-122.39841 37.76128, -122.41765 37.76517);1745.7274349518493;242;7.213749731205989
37.76487;-122.4225;1;1213088443;LINESTRING (-122.41765 37.76517, -122.4225 37.76487);427.6317690477243;65;6.578950293041912
37.76482;-122.42382;1;1213088383;LINESTRING (-122.4225 37.76487, -122.42382 37.76482);116.16512029923622;60;1.9360853383206036
37.76479;-122.42381;0;1213088346;LINESTRING (-122.42382 37.76482, -122.42381 37.76479);3.449721092490639;37;0.0932357052024497
37.76484;-122.42382;0;1213088286;LINESTRING (-122.42381 37.76479, -122.42382 37.76484);5.628807524304222;60;0.0938134587384037
37.76485;-122.42385;0;1213088226;LINESTRING (-122.42382 37.76484, -122.42385 37.76485);2.8619362864401268;60;0.04769893810733545
37.76485;-122.4233;0;1213088166;LINESTRING (-122.42385 37.76485, -122.4233 37.76485);48.346662269007815;60;0.8057777044834636
37.76503;-122.42041;0;1213088110;LINESTRING (-122.4233 37.76485, -122.42041 37.76503);254.8266730830014;56;4.550476305053596
37.76501;-122.41868;0;1213088046;LINESTRING (-122.42041 37.76503, -122.41868 37.76501);152.08813931168226;64;2.3763771767450352
37.76385;-122.41735;0;1213087985;LINESTRING (-122.41868 37.76501, -122.41735 37.76385);174.08549507471176;61;2.8538605749952746
37.76584;-122.41762;0;1213087925;LINESTRING (-122.41735 37.76385, -122.41762 37.76584);222.54708469814256;60;3.709118078302376
37.76981;-122.41742;0;1213087875;LINESTRING (-122.41762 37.76584, -122.41742 37.76981);441.7937677707232;50;8.835875355414464
37.7697;-122.41533;0;1213087805;LINESTRING (-122.41742 37.76981, -122.41533 37.7697);184.11187790379594;70;2.630169684339942
37.76932;-122.40823;0;1213087745;LINESTRING (-122.41533 37.7697, -122.40823 37.76932);625.500945457845;60;10.42501575763075
37.77008;-122.40708;0;1213087687;LINESTRING (-122.40823 37.76932, -122.40708 37.77008);131.7541880883616;58;2.2716239325579584
37.77239;-122.40411;0;1213087625;LINESTRING (-122.40708 37.77008, -122.40411 37.77239);366.22945217962683;62;5.906926648058497
37.77299;-122.40305;0;1213087565;LINESTRING (-122.40411 37.77239, -122.40305 37.77299);114.5918965925913;60;1.909864943209855
37.77125;-122.40238;1;1213087526;LINESTRING (-122.40305 37.77299, -122.40238 37.77125);202.24275552304974;39;5.185711680078199
37.76916;-122.40843;1;1213087466;LINESTRING (-122.40238 37.77125, -122.40843 37.76916);580.3386622414689;60;9.672311037357815
37.76949;-122.41116;1;1213087401;LINESTRING (-122.40843 37.76916, -122.41116 37.76949);242.75012981462658;65;3.734617381763486
37.76942;-122.41528;1;1213087346;LINESTRING (-122.41116 37.76949, -122.41528 37.76942);362.2215406299871;55;6.585846193272492
37.76964;-122.41783;1;1213087286;LINESTRING (-122.41528 37.76942, -122.41783 37.76964);225.46953182160289;60;3.7578255303600483
37.76988;-122.42254;1;1213087225;LINESTRING (-122.41783 37.76964, -122.42254 37.76988);414.85499043305833;61;6.800901482509153
